GE;GERU;RU;POS;LEVEL;TOPIC1;TOPIC2;TOPIC3;IMAGE_FILE;EOL
ნესვი;НЭСВИ;ДЫНЯ;NOUN;1;MEAL;;;melon.png;
ბიძა;БИДЖА;ДЯДЯ;NOUN;1;RELATIONSHIPS;;;;
მისი;МИСИ;ЕГО/ЕЁ;PRONOUN;1;RELATIONSHIPS;;;;
ჯერ;ДЖЭР;ЕЩЁ, ПОКА;ADVERB;1;TIMEANDDATE;;;;
კიდევ;КИДЭВ;ЕЩЁ, СНОВА;ADVERB;1;TIMEANDDATE;;;;
ცხელი;ЦХЭЛИ;ЖАРКИЙ, ГОРЯЧИЙ;ADJECTIVE;2;NATURE;;;;
ყვითელი;КВИТЭЛИ;ЖЕЛТЫЙ;ADJECTIVE;1;COLOR;;;yellow.png;
ცოლი;ЦОЛИ;ЖЕНА;NOUN;1;RELATIONSHIPS;;;;
ქალი;КАЛИ;ЖЕНЩИНА;NOUN;1;RELATIONSHIPS;;;;
ხვალ;ХВАЛ;ЗАВТРА;ADVERB;1;TIMEANDDATE;;;;
შენობა;ШЭНОДА;ЗДАНИЕ;NOUN;1;PLACEDIRECTION;;;building.png;
აქ;АК;ЗДЕСЬ;ADVERB;1;PLACEDIRECTION;;;;
მწვანე;МЦВАНЭ;ЗЕЛЕНЫЙ;ADJECTIVE;1;COLOR;;;green.png;
მწვანილი;МЦВАНИЛИ;ЗЕЛЕНЬ;NOUN;1;MEAL;;;verdure.png;
ზამთარი;ЗАМТАРИ;ЗИМА;NOUN;2;NATURE;;;;
ნაცნობი;НАЦНОБИ;ЗНАКОМЫЙ(АЯ);NOUN;1;RELATIONSHIPS;;;;
ოქროსფერი;ОКРОСПЭРИ;ЗОЛОТОЙ;ADJECTIVE;1;COLOR;;;golden.png;
უკაცრავად;УКАЦРАВАД;ИЗВИНИТЕ;VERB;1;MISC;;;;
ბოდიში;БОДИШИ;ИЗВИНИТЕ;VERB;1;MISC;;;;
მაპატიეთ;МАПАТИЭ;ИЗВИНИТЕ;VERB;1;MISC;;;;
სახელი;САХЭЛИ;ИМЯ;NOUN;2;RELATIONSHIPS;;;;
საინტერესოა;САИНТЕРЕСОА;ИНТЕРЕСНО (ЕСТЬ);ADVERB;1;BODYFEELINGS;;;;
მათი;МАТИ;ИХ;PRONOUN;1;RELATIONSHIPS;;;;
ყოველი;КОВЭЛИ;КАЖДЫЙ;PRONOUN;1;RELATIONSHIPS;;;;
არდადეგები;АРДАДЭГАБИ;КАНИКУЛЫ;NOUN;2;LIFE;;;;
ბარათი;БАРАТИ;КАРТА (БАНКА);NOUN;1;LIFE;;;bank_card.png;
კაფე;КАПЭ;КАФЕ;NOUN;1;LIFE;;;;
წაბლი;ЦАБЛИ;КАШТАН;NOUN;1;MEAL;;;chestnut.png;
მარწყვი;НАРЦКВИ;КЛУБНИКА;NOUN;1;MEAL;;;strawberry.png;
წიგნი;ЦЫГНИ;КНИГА;NOUN;1;MISC;;;book.png;
ოთახი;ОТАХИ;КОМНАТА;NOUN;2;PLACEDIRECTION;;;room.png;
დასასრული;ДАСАСРУЛИ;КОНЕЦ (ОКОНЧАНИЕ);NOUN;2;PLACEDIRECTION;;;;
ბოლო;БОЛО;КОНЕЦ (ПОСЛЕДНИЙ);NOUN;2;PLACEDIRECTION;;;;
რა თქმა უნდა;РА ТКМА УНДА;КОНЕЧНО;ADVERB;1;MISC;;;;
ყავისფერი;КАВИСПЭРИ;КОРИЧНЕВЫЙ;ADJECTIVE;1;COLOR;;;brown.png;
ძროხა;ДЗОХА;КОРОВА;NOUN;1;NATURE;;;cow.png;
